NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
145,1989,tt0160127,Charlie's Angels,2000,201,action,2,sat,
146,1991,tt0118842,Chasing Amy,1997,22,comedy,3,,
148,1995,tt0175526,Cherry Falls,2000,NA,horror,1,,
149,4008,tt0206634,Children of Men,2006,46,sci-fi,3,,
150,4010,tt0163579,Chill Factor,1999,19,action,0,,
151,1999,tt0071315,Chinatown,1974,NA,crime,3,,
152,2002,tt2416048,Christ Complex,2012,NA,comedy,0,,
153,2003,tt1706593,Chronicle,2012,70,sci-fi,1,,
154,2011,tt0095765,Cinema Paradiso,1988,NA,drama,3,,
156,2019,tt0800320,Clash of the Titans,2010,179,sci-fi,2,,
157,2020,tt0109445,Clerks,1994,6,comedy,2,,
158,2027,tt0106582,Cliffhanger,1993,176,action,2,,
159,5297,tt0088930,Clue,1985,7,comedy,0,,
161,813,tt0109450,Cobb,1994,2,drama,1,,
162,811,tt0088936,Code of Silence,1985,NA,crime,0,,
163,2033,tt0159365,Cold Mountain,2003,137,drama,3,,
164,815,tt0233469,Collateral Damage,2002,59,action,0,,
165,2041,tt1657507,Colombiana,2011,40,action,2,,
166,2042,tt0109456,Color of Night,1994,41,crime,2,,
167,5298,tt0099291,Come See the Paradise,1990,1,drama,3,,
168,2046,tt0816462,Conan the Barbarian,2011,23,sci-fi,1,,
169,814,tt0270288,Confessions of a Dangerous Mind,2002,NA,crime,3,,
170,4039,tt0118883,Conspiracy Theory,1997,144,action,1,,
173,2056,tt0112722,Copycat,1995,64,crime,1,,
174,2059,tt1372686,Coriolanus,2011,0,drama,3,,
175,4047,tt0375679,Crash,2004,76,drama,3,,
176,2073,tt1570728,Crazy Stupid Love,2011,92,comedy,3,,
177,4034,tt0416658,Crazylove,2005,NA,comedy,0,,
178,2075,tt0974014,Creation,2009,NA,drama,1,,
179,830,tt0310924,Crime Spree,2003,NA,action,1,,
180,2083,tt0159382,Croupier,1998,11,drama,1,,
181,2091,tt0139134,Cruel Intentions,1999,65,drama,2,,
182,2095,tt0123755,Cube,1997,0,sci-fi,1,,
183,2100,tt0099348,Dances with Wolves,1990,378,action,1,,
184,2101,tt0118929,Dark City,1998,26,sci-fi,1,,
185,2108,tt0069945,Dark Star,1974,NA,sci-fi,1,,
186,4078,tt0106673,Dave,1993,133,comedy,3,,
187,844,tt0088993,Day of the Dead,1985,NA,horror,1,,
188,2126,tt0097165,Dead Poets Society,1989,210,drama,3,,
189,850,tt0266452,Death to Smoochy,2002,12,comedy,1,,
190,852,tt0104073,Deep Cover,1992,34,action,1,,
191,2139,tt0118956,Deep Rising,1998,20,horror,1,,
193,2150,tt0165710,Detroit Rock City,1999,7,comedy,1,,
194,2152,tt0112857,Devil in a Blue Dress,1995,32,crime,1,,
195,2154,tt0095016,Die Hard,1988,172,action,2,,
196,2158,tt0083833,Diner,1982,41,comedy,3,,
197,863,tt0486822,Disturbia,2007,101,crime,2,,
